Description,Rate,Titles,Vote_count,Year
Drama. Comedia. Siglo XVII. Sátira. Feminismo,"7,7",La kermesse heroica ,1.694 votos,1935
Documental. Documental sobre música. Amistad. Familia,"7,7",Anvil - El sueño de una banda de rock ,2.893 votos,2008
Drama. Intriga. Romance. Drama psicológico. Secuestros / Desapariciones,"7,7",La aventura ,4.057 votos,1960
Drama. Romance. Drama romántico. I Guerra Mundial. Cine mudo. Discapacidad,"7,7",Estrellas dichosas ,268 votos,1929
Drama. Animales,"7,7",Al azar de Baltasar ,2.655 votos,1966
Documental. Ballet. Baile. 3-D,"7,7",Pina ,4.351 votos,2011
Aventuras. Comedia. Comedia sofisticada. Comedia romántica. Cine dentro del cine. Gran Depresión. Road Movie,"7,7",Los viajes de Sullivan ,4.144 votos,1941
Comedia. Drama. Familia. Historias cruzadas. Comedia dramática,"7,7",Yi Yi ,1.840 votos,2000
Aventuras. Acción. Japón feudal. Siglo XVI. Samuráis,"7,6",La fortaleza escondida ,4.607 votos,1958
Bélico. Western. Aventuras. Guerra de Secesión,"7,6",Misión de audaces ,3.764 votos,1959
Drama. Historias cruzadas. Años 1900 (circa),"7,6",La ronda ,1.842 votos,1950
Drama. Romance. Comedia. Drama romántico. Nouvelle vague,"7,6",Mi noche con Maud ,3.978 votos,1969
Documental. Caza. Familia. Cine mudo,"7,6","Nanuk, el esquimal (Nanook, el esquimal) ",6.785 votos,1922
Drama. Romance. Robos & Atracos,"7,6",Pickpocket ,7.038 votos,1959
Documental. ,"7,6",Ciutat morta (Ciudad muerta) ,4.757 votos,2014
Drama. Intriga. Drama psicológico,"7,6",El sirviente ,4.650 votos,1963
Animación. Ciencia ficción. Acción. Thriller. Cyberpunk. Thriller futurista. Animación para adultos. Película de culto. Manga. Holocausto nuclear. Futuro postapocalíptico,"7,6",Akira ,55.567 votos,1988
Drama. II Guerra Mundial. Melodrama,"7,6",Dos mujeres ,3.563 votos,1960
Cine negro. Policíaco. Crimen,"7,6",El enemigo público ,3.679 votos,1931
Animación. Aventuras. Fantástico. Infantil. Cuentos. Mitología,"7,6",La canción del mar ,7.850 votos,2014
Drama. Romance. Melodrama. Drama romántico. Arquitectura,"7,6",Un extraño en mi vida ,1.726 votos,1960
Drama. Romance. Drama romántico,"7,6",El amor de Jeanne Ney ,88 votos,1927
Cine negro. Intriga. Policíaco. Crimen. Robos & Atracos. Neo-noir,"7,6",Círculo rojo ,2.942 votos,1970
Drama. Cine mudo,"7,6",La reina Kelly ,771 votos,1929
Documental. Documental sobre música. Biográfico. Flamenco,"7,6",Paco de Lucía: La búsqueda ,1.310 votos,2014
Drama. Biográfico. Infancia. Mediometraje,"7,6",My Childhood ,367 votos,1972
