Description,Rate,Titles,Year
Documental. Documental sobre música. Amistad. Familia,"7,7",Anvil - El sueño de una banda de rock ,2008
Drama. Intriga. Romance. Drama psicológico. Secuestros / Desapariciones,"7,7",La aventura ,1960
Drama. Comedia. Siglo XVII. Sátira. Feminismo,"7,7",La kermesse heroica ,1935
Documental. Enfermedad. Medicina,"7,7",Los demás días ,2017
Aventuras. Comedia. Comedia sofisticada. Comedia romántica. Cine dentro del cine. Gran Depresión. Road Movie,"7,7",Los viajes de Sullivan ,1941
Documental. Ballet. Baile. 3-D,"7,7",Pina ,2011
Drama. Animales,"7,7",Al azar de Baltasar ,1966
Aventuras. Acción. Japón feudal. Siglo XVI. Samuráis,"7,7",La fortaleza escondida ,1958
Bélico. Western. Aventuras. Guerra de Secesión,"7,7",Misión de audaces ,1959
Drama. Historias cruzadas. Años 1900 (circa),"7,6",La ronda ,1950
Drama. Romance. Comedia. Drama romántico. Nouvelle vague,"7,6",Mi noche con Maud ,1969
Comedia. Drama. Familia. Historias cruzadas. Comedia dramática,"7,6",Yi Yi ,2000
Documental. Caza. Familia. Cine mudo,"7,6","Nanuk, el esquimal (Nanook, el esquimal) ",1922
Drama. Romance. Robos & Atracos,"7,6",Pickpocket ,1959
Documental. ,"7,6",Ciutat morta (Ciudad muerta) ,2014
Drama. Intriga. Drama psicológico,"7,6",El sirviente ,1963
Cine negro. Policíaco. Crimen,"7,6",El enemigo público ,1931
Drama. II Guerra Mundial. Melodrama,"7,6",Dos mujeres ,1960
Drama. Romance. Melodrama. Drama romántico. Arquitectura,"7,6",Un extraño en mi vida ,1960
Drama. Cine mudo,"7,6",La reina Kelly ,1929
Documental. África. Naturaleza. Pesca,"7,6",La pesadilla de Darwin ,2004
Drama. Prostitución. Película de culto. Cine independiente USA,"7,6",Rostros (Faces) ,1968
Cine negro. Intriga. Policíaco. Crimen. Robos & Atracos. Neo-noir,"7,6",Círculo rojo ,1970
Animación. Aventuras. Fantástico. Infantil. Cuentos. Mitología,"7,6",La canción del mar ,2014
Drama. Romance. Comedia. Ciencia ficción. Cine independiente USA. Comedia dramática. Película de culto,"7,6",¡Olvídate de mí! ,2004
Documental. Colonialismo. África,"7,6",Concerning Violence ,2014
Documental. Documental sobre música. Biográfico. Flamenco,"7,6",Paco de Lucía: La búsqueda ,2014
Drama. Musical. Enfermedad. Discapacidad. Película de culto. Crimen,"7,6",Bailar en la oscuridad ,2000
Documental. Sátira. Pintura. Falso documental,"7,6",Exit Through the Gift Shop ,2010
Comedia. Drama. Romance. Amistad. Pobreza. Pintura. Comedia dramática,"7,6",La vida de bohemia ,1992
Drama. ,"7,6",Lugares comunes ,2002
Drama. Drama romántico. Vejez. Enfermedad. Discapacidad,"7,6",Amor ,2012
Romance. Drama. Amistad. Drama romántico. Nouvelle vague,"7,6",El amor después del mediodía ,1972
Cine negro. ,"7,6",Sólo se vive una vez ,1937
Drama. Romance. Drama romántico. Enfermedad,"7,6",Mi vida sin mí ,2003
Drama. Música,"7,6",Despedidas ,2008
Drama. Familia. Años 30,"7,6",Quemado por el sol ,1994
Drama. Secuela. Telefilm,"7,6",Saraband (TV),2003
Documental. Vida rural,"7,6",Los espigadores y la espigadora ,2000
Drama. II Guerra Mundial,"7,6",El ejército de las sombras ,1969
